region,year,week,total_a,total_b,total_specimens,total_cases
New England,2016,4,67,7,1273,74
Middle Atlantic,2016,4,103,13,2599,116
East North Central,2016,4,159,18,3312,177
West North Central,2016,4,34,6,1333,40
South Atlantic,2016,4,277,88,3607,365
East South Central,2016,4,16,12,912,28
West South Central,2016,4,59,42,2649,101
Mountain,2016,4,99,78,2171,177
Pacific,2016,4,221,148,2935,369
New England,2016,5,102,4,1266,106
Middle Atlantic,2016,5,176,24,2691,200
East North Central,2016,5,280,39,3719,319
West North Central,2016,5,46,10,1521,56
South Atlantic,2016,5,445,132,3946,577
East South Central,2016,5,15,11,844,26
West South Central,2016,5,68,64,2534,132
Mountain,2016,5,169,130,2603,299
Pacific,2016,5,271,173,3137,444
New England,2016,6,85,28,1402,113
Middle Atlantic,2016,6,281,43,3126,324
East North Central,2016,6,389,43,4025,432
West North Central,2016,6,78,9,1723,87
South Atlantic,2016,6,569,140,4477,709
East South Central,2016,6,24,18,877,42
West South Central,2016,6,116,109,2745,225
Mountain,2016,6,308,180,2933,488
Pacific,2016,6,415,294,3626,709
New England,2016,7,161,24,1311,185
Middle Atlantic,2016,7,423,70,3357,493
East North Central,2016,7,630,72,4666,702
West North Central,2016,7,143,19,1923,162
South Atlantic,2016,7,620,138,4563,758
East South Central,2016,7,66,9,1021,75
West South Central,2016,7,225,235,3041,460
Mountain,2016,7,385,197,3487,582
Pacific,2016,7,482,328,3839,810
New England,2016,8,260,26,1726,286
Middle Atlantic,2016,8,729,75,4066,804
East North Central,2016,8,999,113,5638,1112
West North Central,2016,8,208,18,2116,226
South Atlantic,2016,8,961,184,5489,1145
East South Central,2016,8,116,36,1177,152
West South Central,2016,8,316,188,3141,504
Mountain,2016,8,381,228,3572,609
Pacific,2016,8,440,408,4041,848
New England,2016,9,332,69,1997,401
Middle Atlantic,2016,9,1043,133,4644,1176
East North Central,2016,9,1353,156,6392,1509
West North Central,2016,9,254,44,2229,298
South Atlantic,2016,9,1046,225,6084,1271
East South Central,2016,9,124,36,1198,160
West South Central,2016,9,338,273,3353,611
Mountain,2016,9,574,289,4002,863
Pacific,2016,9,459,404,3981,863
New England,2016,10,565,102,2480,667
Middle Atlantic,2016,10,1286,255,5329,1541
East North Central,2016,10,1679,236,7383,1915
West North Central,2016,10,373,69,2620,442
South Atlantic,2016,10,1252,366,6677,1618
East South Central,2016,10,195,54,1460,249
West South Central,2016,10,356,307,3427,663
Mountain,2016,10,601,270,3824,871
Pacific,2016,10,372,359,3581,731
New England,2016,11,469,118,2527,587
Middle Atlantic,2016,11,1079,285,5136,1364
East North Central,2016,11,1089,226,6432,1315
