region,year,week,total_a,total_b,total_specimens,total_cases
West South Central,2017,14,153,174,3135,327
Mountain,2017,14,65,150,1932,215
Pacific,2017,14,67,96,2199,163
New England,2017,15,126,354,2233,480
Middle Atlantic,2017,15,52,398,3410,450
East North Central,2017,15,235,553,5314,788
West North Central,2017,15,28,182,1963,210
South Atlantic,2017,15,246,363,4395,609
East South Central,2017,15,45,76,1088,121
West South Central,2017,15,105,132,2730,237
Mountain,2017,15,36,149,2068,185
Pacific,2017,15,29,76,1800,105
New England,2017,16,64,259,1905,323
Middle Atlantic,2017,16,36,236,2942,272
East North Central,2017,16,115,376,4568,491
West North Central,2017,16,19,107,1771,126
South Atlantic,2017,16,153,259,3744,412
East South Central,2017,16,29,55,1067,84
West South Central,2017,16,78,93,2525,171
Mountain,2017,16,57,127,1889,184
Pacific,2017,16,16,63,1680,79
New England,2017,17,30,180,1540,210
Middle Atlantic,2017,17,21,114,2232,135
East North Central,2017,17,41,176,3537,217
West North Central,2017,17,8,58,1525,66
South Atlantic,2017,17,113,165,3318,278
East South Central,2017,17,17,36,878,53
West South Central,2017,17,47,70,2288,117
Mountain,2017,17,31,95,1903,126
Pacific,2017,17,18,52,1574,70
New England,2017,18,12,87,1100,99
Middle Atlantic,2017,18,15,68,1945,83
East North Central,2017,18,17,107,2967,124
West North Central,2017,18,3,43,1369,46
South Atlantic,2017,18,94,161,2992,255
East South Central,2017,18,6,24,743,30
West South Central,2017,18,39,55,1916,94
Mountain,2017,18,48,105,1746,153
Pacific,2017,18,18,58,1445,76
New England,2017,19,15,41,1060,56
Middle Atlantic,2017,19,6,48,1752,54
East North Central,2017,19,26,68,2683,94
West North Central,2017,19,6,33,1198,39
South Atlantic,2017,19,97,169,2928,266
East South Central,2017,19,11,26,769,37
West South Central,2017,19,26,62,1913,88
Mountain,2017,19,33,81,1562,114
Pacific,2017,19,12,56,1437,68
New England,2017,20,7,36,906,43
Middle Atlantic,2017,20,14,34,1731,48
East North Central,2017,20,11,59,2383,70
West North Central,2017,20,3,19,1135,22
South Atlantic,2017,20,95,123,2606,218
East South Central,2017,20,12,24,661,36
West South Central,2017,20,34,51,1933,85
Mountain,2017,20,33,78,1493,111
Pacific,2017,20,7,55,1444,62
New England,2017,21,1,9,680,10
Middle Atlantic,2017,21,5,19,1495,24
East North Central,2017,21,8,35,2042,43
West North Central,2017,21,7,12,930,19
South Atlantic,2017,21,92,127,2531,219
East South Central,2017,21,20,16,679,36
West South Central,2017,21,22,39,1816,61
Mountain,2017,21,13,71,1284,84
Pacific,2017,21,12,50,1364,62
New England,2017,22,2,6,600,8
Middle Atlantic,2017,22,8,4,1328,12
East North Central,2017,22,7,13,1776,20
West North Central,2017,22,1,4,821,5
South Atlantic,2017,22,105,130,2538,235
East South Central,2017,22,8,15,527,23
West South Central,2017,22,19,36,1564,55
Mountain,2017,22,15,69,1244,84
Pacific,2017,22,6,37,1246,43
New England,2017,23,0,3,449,3
Middle Atlantic,2017,23,1,5,1314,6
East North Central,2017,23,3,10,1585,13
West North Central,2017,23,1,4,774,5
South Atlantic,2017,23,101,95,2246,196
East South Central,2017,23,4,2,547,6
West South Central,2017,23,9,23,1527,32
Mountain,2017,23,11,46,1048,57
Pacific,2017,23,6,37,1172,43
New England,2017,24,0,0,430,0
Middle Atlantic,2017,24,9,6,1308,15
East North Central,2017,24,6,5,1403,11
West North Central,2017,24,2,1,756,3
South Atlantic,2017,24,88,94,2104,182
East South Central,2017,24,5,2,381,7
West South Central,2017,24,7,8,1245,15
Mountain,2017,24,10,32,938,42
Pacific,2017,24,4,14,1003,18
New England,2017,25,5,0,350,5
Middle Atlantic,2017,25,5,5,1119,10
East North Central,2017,25,7,6,1281,13
West North Central,2017,25,1,4,651,5
South Atlantic,2017,25,71,59,1849,130
East South Central,2017,25,2,5,341,7
West South Central,2017,25,8,7,1165,15
Mountain,2017,25,2,12,773,14
Pacific,2017,25,6,19,926,25
New England,2017,26,1,1,301,2
Middle Atlantic,2017,26,5,1,1014,6
East North Central,2017,26,6,4,1239,10
West North Central,2017,26,4,0,584,4
South Atlantic,2017,26,56,55,1507,111
East South Central,2017,26,4,2,327,6
West South Central,2017,26,2,5,951,7
Mountain,2017,26,3,13,737,16
Pacific,2017,26,13,15,838,28
New England,2017,27,1,0,285,1
Middle Atlantic,2017,27,2,1,824,3
East North Central,2017,27,1,2,1006,3
West North Central,2017,27,2,1,572,3
South Atlantic,2017,27,50,45,1611,95
East South Central,2017,27,1,3,364,4
West South Central,2017,27,4,6,941,10
Mountain,2017,27,4,8,660,12
Pacific,2017,27,10,13,808,23
New England,2017,28,4,0,257,4
Middle Atlantic,2017,28,4,2,951,6
East North Central,2017,28,7,4,1131,11
West North Central,2017,28,0,0,580,0
South Atlantic,2017,28,60,43,1641,103
East South Central,2017,28,0,4,346,4
West South Central,2017,28,7,7,976,14
Mountain,2017,28,1,3,696,4
Pacific,2017,28,9,5,816,14
New England,2017,29,1,0,249,1
Middle Atlantic,2017,29,5,0,873,5
East North Central,2017,29,14,6,1092,20
West North Central,2017,29,1,1,618,2
South Atlantic,2017,29,48,23,1536,71
East South Central,2017,29,3,2,357,5
West South Central,2017,29,7,7,955,14
Mountain,2017,29,2,2,700,4
Pacific,2017,29,6,4,798,10
New England,2017,30,3,0,290,3
Middle Atlantic,2017,30,2,3,871,5
East North Central,2017,30,8,7,1005,15
West North Central,2017,30,2,0,575,2
South Atlantic,2017,30,40,27,1444,67
East South Central,2017,30,1,2,280,3
West South Central,2017,30,7,1,825,8
Mountain,2017,30,4,3,677,7
Pacific,2017,30,5,7,788,12
New England,2017,31,2,1,244,3
Middle Atlantic,2017,31,4,1,856,5
East North Central,2017,31,12,1,1047,13
West North Central,2017,31,5,0,505,5
South Atlantic,2017,31,53,25,1488,78
East South Central,2017,31,1,1,301,2
West South Central,2017,31,12,4,905,16
Mountain,2017,31,3,1,665,4
Pacific,2017,31,4,1,714,5
New England,2017,32,3,1,273,4
Middle Atlantic,2017,32,1,1,878,2
East North Central,2017,32,7,3,964,10
West North Central,2017,32,1,0,520,1
South Atlantic,2017,32,45,40,1568,85
East South Central,2017,32,3,3,342,6
West South Central,2017,32,6,1,943,7
Mountain,2017,32,2,0,723,2
Pacific,2017,32,8,6,682,14
New England,2017,33,1,1,295,2
Middle Atlantic,2017,33,1,0,942,1
East North Central,2017,33,5,2,1171,7
West North Central,2017,33,0,0,502,0
South Atlantic,2017,33,36,21,1726,57
East South Central,2017,33,0,3,376,3
West South Central,2017,33,10,8,1112,18
Mountain,2017,33,5,1,739,6
Pacific,2017,33,4,4,733,8
New England,2017,34,1,1,286,2
Middle Atlantic,2017,34,4,1,921,5
East North Central,2017,34,10,1,1212,11
West North Central,2017,34,1,0,560,1
South Atlantic,2017,34,44,19,1800,63
East South Central,2017,34,1,4,537,5
West South Central,2017,34,8,6,1175,14
Mountain,2017,34,5,0,838,5
Pacific,2017,34,6,5,831,11
New England,2017,35,1,0,301,1
Middle Atlantic,2017,35,4,0,932,4
East North Central,2017,35,10,3,1429,13
West North Central,2017,35,5,0,657,5
South Atlantic,2017,35,66,40,2219,106
East South Central,2017,35,5,4,567,9
West South Central,2017,35,15,10,1334,25
Mountain,2017,35,3,0,878,3
Pacific,2017,35,11,5,1087,16
New England,2017,36,5,0,347,5
Middle Atlantic,2017,36,5,1,1063,6
East North Central,2017,36,16,2,1661,18
West North Central,2017,36,1,0,707,1
South Atlantic,2017,36,57,40,2341,97
East South Central,2017,36,4,7,624,11
West South Central,2017,36,19,11,1562,30
Mountain,2017,36,8,1,982,9
Pacific,2017,36,13,6,1094,19
New England,2017,37,7,0,435,7
Middle Atlantic,2017,37,18,1,1302,19
East North Central,2017,37,24,3,2108,27
West North Central,2017,37,9,1,808,10
South Atlantic,2017,37,52,41,2308,93
East South Central,2017,37,9,5,683,14
West South Central,2017,37,13,15,1858,28
Mountain,2017,37,5,1,1043,6
Pacific,2017,37,11,5,1057,16
New England,2017,38,3,1,552,4
Middle Atlantic,2017,38,7,4,1317,11
East North Central,2017,38,24,6,2326,30
West North Central,2017,38,5,1,882,6
South Atlantic,2017,38,51,28,2492,79
East South Central,2017,38,4,13,739,17
West South Central,2017,38,15,20,1997,35
Mountain,2017,38,12,1,1135,13
Pacific,2017,38,16,1,1259,17
New England,2017,39,4,0,583,4
Middle Atlantic,2017,39,11,3,1436,14
East North Central,2017,39,16,2,2457,18
West North Central,2017,39,5,0,897,5
South Atlantic,2017,39,61,23,2613,84
East South Central,2017,39,2,13,819,15
West South Central,2017,39,30,27,2116,57
Mountain,2017,39,8,2,1182,10
Pacific,2017,39,18,7,1519,25
New England,2017,40,3,1,781,4
Middle Atlantic,2017,40,16,3,1877,19
East North Central,2017,40,22,10,2657,32
West North Central,2017,40,2,1,1104,3
South Atlantic,2017,40,97,39,3061,136
East South Central,2017,40,12,26,914,38
West South Central,2017,40,51,19,1898,70
Mountain,2017,40,9,3,1418,12
Pacific,2017,40,18,10,1822,28
New England,2017,41,5,0,846,5
Middle Atlantic,2017,41,22,5,1963,27
East North Central,2017,41,19,4,2889,23
West North Central,2017,41,3,1,1196,4
South Atlantic,2017,41,80,39,3329,119
East South Central,2017,41,19,25,967,44
West South Central,2017,41,42,17,1971,59
Mountain,2017,41,20,0,1455,20
Pacific,2017,41,38,7,1941,45
New England,2017,42,7,1,879,8
Middle Atlantic,2017,42,18,4,2145,22
East North Central,2017,42,28,6,3091,34
West North Central,2017,42,7,1,1255,8
South Atlantic,2017,42,99,55,3653,154
East South Central,2017,42,17,16,1005,33
West South Central,2017,42,41,14,2246,55
Mountain,2017,42,20,3,1507,23
Pacific,2017,42,41,10,2046,51
New England,2017,43,2,4,943,6
Middle Atlantic,2017,43,26,5,2293,31
East North Central,2017,43,20,2,3175,22
West North Central,2017,43,4,1,1142,5
South Atlantic,2017,43,123,71,3733,194
East South Central,2017,43,24,20,1005,44
West South Central,2017,43,62,22,2394,84
Mountain,2017,43,24,2,1631,26
Pacific,2017,43,55,8,2075,63
New England,2017,44,12,1,980,13
Middle Atlantic,2017,44,24,5,2400,29
East North Central,2017,44,42,6,3335,48
West North Central,2017,44,37,6,1214,43
South Atlantic,2017,44,116,85,4034,201
East South Central,2017,44,21,25,1125,46
West South Central,2017,44,104,58,2861,162
Mountain,2017,44,68,4,1837,72
Pacific,2017,44,79,29,2229,108
New England,2017,45,20,1,1091,21
Middle Atlantic,2017,45,21,7,2740,28
East North Central,2017,45,52,8,3628,60
West North Central,2017,45,16,10,1350,26
South Atlantic,2017,45,174,89,4351,263
East South Central,2017,45,41,26,1303,67
West South Central,2017,45,167,74,3036,241
Mountain,2017,45,79,6,1960,85
Pacific,2017,45,119,19,2427,138
New England,2017,46,18,4,1266,22
Middle Atlantic,2017,46,27,14,2790,41
East North Central,2017,46,96,18,3983,114
West North Central,2017,46,28,19,1505,47
South Atlantic,2017,46,228,103,4677,331
East South Central,2017,46,35,31,1443,66
West South Central,2017,46,243,95,3666,338
Mountain,2017,46,120,7,2020,127
Pacific,2017,46,144,31,2444,175
New England,2017,47,22,4,1277,26
Middle Atlantic,2017,47,44,30,2616,74
East North Central,2017,47,130,20,3740,150
West North Central,2017,47,46,13,1346,59
South Atlantic,2017,47,335,130,5057,465
East South Central,2017,47,42,32,1201,74
West South Central,2017,47,270,83,3637,353
Mountain,2017,47,183,13,2192,196
Pacific,2017,47,264,28,2764,292
New England,2017,48,28,13,1422,41
Middle Atlantic,2017,48,62,42,3211,104
East North Central,2017,48,236,35,4747,271
West North Central,2017,48,87,11,1650,98
South Atlantic,2017,48,237,139,5083,376
East South Central,2017,48,43,29,1665,72
West South Central,2017,48,327,96,3806,423
Mountain,2017,48,226,22,2496,248
Pacific,2017,48,306,49,3133,355
New England,2017,49,31,14,1468,45
Middle Atlantic,2017,49,78,62,3408,140
East North Central,2017,49,339,44,5207,383
West North Central,2017,49,144,35,1809,179
South Atlantic,2017,49,353,143,5296,496
East South Central,2017,49,56,21,1587,77
West South Central,2017,49,583,119,4282,702
Mountain,2017,49,373,307,4093,680
Pacific,2017,49,522,82,3617,604
New England,2017,50,97,17,1701,114
Middle Atlantic,2017,50,136,82,3602,218
East North Central,2017,50,743,87,6381,830
West North Central,2017,50,209,22,2082,231
South Atlantic,2017,50,525,166,5961,691
East South Central,2017,50,183,42,2015,225
West South Central,2017,50,1316,221,6026,1537
Mountain,2017,50,410,45,2890,455
Pacific,2017,50,941,162,4536,1103
New England,2017,51,146,42,1925,188
Middle Atlantic,2017,51,269,135,4029,404
East North Central,2017,51,1597,132,8595,1729
West North Central,2017,51,509,53,2645,562
South Atlantic,2017,51,1053,385,8212,1438
East South Central,2017,51,527,61,2894,588
West South Central,2017,51,2739,421,9388,3160
Mountain,2017,51,813,96,3987,909
Pacific,2017,51,1584,373,6334,1957
New England,2017,52,266,54,2176,320
Middle Atlantic,2017,52,455,236,4741,691
East North Central,2017,52,2678,195,10889,2873
West North Central,2017,52,681,65,3112,746
South Atlantic,2017,52,1643,422,9856,2065
East South Central,2017,52,558,73,3100,631
West South Central,2017,52,2597,398,9283,2995
Mountain,2017,52,1225,172,5142,1397
Pacific,2017,52,1899,477,7219,2376
New England,2018,1,388,78,2939,466
Middle Atlantic,2018,1,703,276,5445,979
East North Central,2018,1,3307,291,13129,3598
West North Central,2018,1,899,123,3918,1022
South Atlantic,2018,1,1910,381,10078,2291
East South Central,2018,1,690,118,3518,808
West South Central,2018,1,2249,463,9032,2712
Mountain,2018,1,1182,281,5636,1463
Pacific,2018,1,1690,524,7621,2214
New England,2018,2,547,105,3104,652
Middle Atlantic,2018,2,1043,370,6681,1413
East North Central,2018,2,3902,351,14581,4253
West North Central,2018,2,1127,171,4529,1298
South Atlantic,2018,2,2748,552,12331,3300
East South Central,2018,2,904,120,3971,1024
West South Central,2018,2,2416,648,9535,3064
Mountain,2018,2,1176,302,5960,1478
Pacific,2018,2,1286,627,7584,1913
New England,2018,3,672,140,3457,812
Middle Atlantic,2018,3,1253,537,7094,1790
East North Central,2018,3,4065,462,14961,4527
West North Central,2018,3,1083,175,4492,1258
South Atlantic,2018,3,2801,719,13514,3520
East South Central,2018,3,781,154,3620,935
West South Central,2018,3,2284,813,9283,3097
Mountain,2018,3,968,358,5895,1326
Pacific,2018,3,875,547,6808,1422
New England,2018,4,1007,262,4605,1269
Middle Atlantic,2018,4,1881,953,9703,2834
East North Central,2018,4,4600,651,16651,5251
West North Central,2018,4,1123,223,5020,1346
South Atlantic,2018,4,3587,714,16830,4301
East South Central,2018,4,645,187,3758,832
West South Central,2018,4,2195,1256,10126,3451
Mountain,2018,4,851,516,6568,1367
Pacific,2018,4,745,588,7061,1333
New England,2018,5,1177,348,5205,1525
Middle Atlantic,2018,5,2186,1161,10797,3347
East North Central,2018,5,4029,769,16238,4798
West North Central,2018,5,1016,358,5297,1374
South Atlantic,2018,5,3115,1117,16557,4232
East South Central,2018,5,559,204,3499,763
West South Central,2018,5,1746,1635,10507,3381
Mountain,2018,5,755,685,6865,1440
Pacific,2018,5,610,638,6722,1248
New England,2018,6,1317,515,5560,1832
Middle Atlantic,2018,6,2292,1382,11227,3674
East North Central,2018,6,3751,920,15866,4671
West North Central,2018,6,886,458,4989,1344
South Atlantic,2018,6,2935,1385,16903,4320
East South Central,2018,6,506,325,3743,831
West South Central,2018,6,1346,1566,9835,2912
Mountain,2018,6,545,659,6554,1204
Pacific,2018,6,538,648,6714,1186
New England,2018,7,1323,604,5694,1927
Middle Atlantic,2018,7,2100,1444,11267,3544
East North Central,2018,7,3157,1220,14896,4377
West North Central,2018,7,731,554,4970,1285
South Atlantic,2018,7,2012,1214,13625,3226
East South Central,2018,7,321,294,3394,615
West South Central,2018,7,942,1611,8889,2553
Mountain,2018,7,388,673,6126,1061
Pacific,2018,7,397,596,6112,993
New England,2018,8,904,513,4752,1417
Middle Atlantic,2018,8,1271,1110,8573,2381
East North Central,2018,8,2184,1298,12772,3482
West North Central,2018,8,568,519,4432,1087
South Atlantic,2018,8,984,767,9864,1751
East South Central,2018,8,137,183,2425,320
West South Central,2018,8,491,945,6666,1436
Mountain,2018,8,315,514,5171,829
Pacific,2018,8,323,551,5379,874
New England,2018,9,605,355,3753,960
Middle Atlantic,2018,9,581,548,6084,1129
East North Central,2018,9,1387,977,10181,2364
West North Central,2018,9,339,495,3722,834
South Atlantic,2018,9,566,474,7665,1040
East South Central,2018,9,60,100,1780,160
West South Central,2018,9,248,573,5097,821
Mountain,2018,9,299,501,4960,800
Pacific,2018,9,320,536,5247,856
New England,2018,10,297,256,3042,553
Middle Atlantic,2018,10,356,341,4772,697
East North Central,2018,10,843,857,8443,1700
West North Central,2018,10,220,385,3171,605
South Atlantic,2018,10,422,367,6576,789
East South Central,2018,10,27,75,1535,102
West South Central,2018,10,120,284,4077,404
Mountain,2018,10,254,421,4355,675
Pacific,2018,10,358,548,5007,906
New England,2018,11,230,202,2451,432
Middle Atlantic,2018,11,250,324,4364,574
East North Central,2018,11,769,975,8013,1744
West North Central,2018,11,167,296,2621,463
South Atlantic,2018,11,376,399,6268,775
East South Central,2018,11,21,71,1388,92
West South Central,2018,11,74,180,3192,254
Mountain,2018,11,203,385,3853,588
Pacific,2018,11,259,552,4644,811
New England,2018,12,188,184,2385,372
Middle Atlantic,2018,12,251,292,4010,543
East North Central,2018,12,731,1147,7882,1878
West North Central,2018,12,105,223,2334,328
South Atlantic,2018,12,346,422,5780,768
East South Central,2018,12,28,68,1220,96
West South Central,2018,12,49,122,2604,171
Mountain,2018,12,143,261,3158,404
Pacific,2018,12,182,384,4069,566
New England,2018,13,159,201,2076,360
Middle Atlantic,2018,13,285,319,3863,604
East North Central,2018,13,594,1211,7720,1805
West North Central,2018,13,79,185,2088,264
South Atlantic,2018,13,283,391,5168,674
East South Central,2018,13,18,60,1173,78
West South Central,2018,13,25,56,2258,81
Mountain,2018,13,93,180,2678,273
Pacific,2018,13,172,324,3644,496
New England,2018,14,125,224,2076,349
Middle Atlantic,2018,14,200,258,3211,458
East North Central,2018,14,361,897,6999,1258
West North Central,2018,14,64,152,1831,216
South Atlantic,2018,14,174,346,4707,520
East South Central,2018,14,16,36,1111,52
West South Central,2018,14,18,53,1954,71
Mountain,2018,14,56,116,2294,172
Pacific,2018,14,118,255,3156,373
New England,2018,15,115,197,1919,312
Middle Atlantic,2018,15,141,146,2802,287
East North Central,2018,15,298,862,6571,1160
West North Central,2018,15,51,96,1719,147
South Atlantic,2018,15,156,308,4568,464
East South Central,2018,15,19,28,935,47
West South Central,2018,15,8,39,1795,47
Mountain,2018,15,51,73,2170,124
Pacific,2018,15,62,168,2573,230
New England,2018,16,73,153,1654,226
Middle Atlantic,2018,16,126,91,2555,217
East North Central,2018,16,168,648,5484,816
West North Central,2018,16,40,105,1600,145
South Atlantic,2018,16,111,219,4142,330
East South Central,2018,16,6,24,902,30
West South Central,2018,16,5,26,1670,31
Mountain,2018,16,29,63,1751,92
Pacific,2018,16,37,95,1725,132
New England,2018,17,48,101,1425,149
Middle Atlantic,2018,17,99,90,2273,189
East North Central,2018,17,120,450,4694,570
West North Central,2018,17,35,69,1414,104
South Atlantic,2018,17,80,204,3909,284
East South Central,2018,17,5,14,803,19
West South Central,2018,17,9,17,1526,26
Mountain,2018,17,29,53,1470,82
Pacific,2018,17,47,76,1814,123
New England,2018,18,15,50,1094,65
Middle Atlantic,2018,18,67,52,2139,119
East North Central,2018,18,114,337,4086,451
West North Central,2018,18,30,43,1157,73
South Atlantic,2018,18,74,159,3621,233
East South Central,2018,18,4,13,734,17
West South Central,2018,18,3,11,1320,14
Mountain,2018,18,25,32,1412,57
Pacific,2018,18,14,27,1532,41
New England,2018,19,4,20,843,24
Middle Atlantic,2018,19,36,50,1927,86
East North Central,2018,19,41,198,3411,239
West North Central,2018,19,10,27,1115,37
South Atlantic,2018,19,67,118,3193,185
East South Central,2018,19,3,11,685,14
West South Central,2018,19,7,9,1204,16
Mountain,2018,19,14,14,1327,28
Pacific,2018,19,9,20,1273,29
New England,2018,20,12,10,768,22
Middle Atlantic,2018,20,27,21,1749,48
East North Central,2018,20,33,74,2649,107
West North Central,2018,20,5,14,937,19
South Atlantic,2018,20,83,86,2960,169
East South Central,2018,20,2,5,639,7
West South Central,2018,20,4,8,1071,12
Mountain,2018,20,4,7,1127,11
Pacific,2018,20,6,11,1113,17
New England,2018,21,8,4,650,12
Middle Atlantic,2018,21,18,9,1587,27
East North Central,2018,21,14,33,2257,47
West North Central,2018,21,3,12,911,15
South Atlantic,2018,21,62,75,2831,137
East South Central,2018,21,1,4,588,5
West South Central,2018,21,2,4,985,6
Mountain,2018,21,2,7,977,9
Pacific,2018,21,9,15,1013,24
New England,2018,22,2,3,588,5
Middle Atlantic,2018,22,13,3,1397,16
East North Central,2018,22,1,6,2103,7
West North Central,2018,22,0,7,804,7
South Atlantic,2018,22,49,55,2679,104
East South Central,2018,22,0,3,505,3
West South Central,2018,22,4,1,912,5
Mountain,2018,22,3,7,908,10
Pacific,2018,22,4,4,893,8
New England,2018,23,1,2,498,3
Middle Atlantic,2018,23,5,2,1311,7
East North Central,2018,23,9,6,1661,15
West North Central,2018,23,1,2,752,3
South Atlantic,2018,23,48,47,2337,95
East South Central,2018,23,2,3,448,5
West South Central,2018,23,3,3,870,6
Mountain,2018,23,0,5,912,5
Pacific,2018,23,4,10,914,14
New England,2018,24,0,1,491,1
Middle Atlantic,2018,24,3,0,1230,3
East North Central,2018,24,2,2,1538,4
West North Central,2018,24,0,0,666,0
South Atlantic,2018,24,41,54,2220,95
East South Central,2018,24,0,1,411,1
West South Central,2018,24,1,1,830,2
Mountain,2018,24,3,4,768,7
Pacific,2018,24,1,2,775,3
New England,2018,25,0,0,435,0
Middle Atlantic,2018,25,0,0,1146,0
East North Central,2018,25,0,1,1418,1
West North Central,2018,25,5,0,690,5
South Atlantic,2018,25,39,28,2109,67
East South Central,2018,25,0,1,400,1
West South Central,2018,25,4,3,720,7
Mountain,2018,25,0,3,752,3
Pacific,2018,25,1,2,832,3
New England,2018,26,2,0,305,2
Middle Atlantic,2018,26,1,0,983,1
East North Central,2018,26,4,1,1356,5
West North Central,2018,26,1,1,699,2
South Atlantic,2018,26,40,23,1956,63
East South Central,2018,26,2,1,392,3
West South Central,2018,26,3,2,742,5
Mountain,2018,26,1,1,696,2
Pacific,2018,26,3,0,594,3
New England,2018,27,0,0,322,0
Middle Atlantic,2018,27,0,0,984,0
East North Central,2018,27,1,1,1119,2
West North Central,2018,27,0,1,463,1
South Atlantic,2018,27,37,17,1767,54
East South Central,2018,27,0,0,354,0
West South Central,2018,27,1,2,611,3
Mountain,2018,27,3,0,629,3
Pacific,2018,27,2,4,630,6
New England,2018,28,1,0,321,1
Middle Atlantic,2018,28,8,0,1052,8
East North Central,2018,28,1,1,1156,2
West North Central,2018,28,1,0,639,1
South Atlantic,2018,28,33,10,1672,43
East South Central,2018,28,1,0,365,1
West South Central,2018,28,1,0,643,1
Mountain,2018,28,2,0,617,2
Pacific,2018,28,3,2,521,5
New England,2018,29,0,0,314,0
Middle Atlantic,2018,29,8,0,1025,8
East North Central,2018,29,6,0,1243,6
West North Central,2018,29,0,0,581,0
South Atlantic,2018,29,32,14,1696,46
East South Central,2018,29,1,0,265,1
West South Central,2018,29,5,0,610,5
Mountain,2018,29,2,0,585,2
Pacific,2018,29,3,1,516,4
New England,2018,30,2,1,309,3
Middle Atlantic,2018,30,3,1,974,4
East North Central,2018,30,5,2,1205,7
West North Central,2018,30,1,0,590,1
South Atlantic,2018,30,29,14,1613,43
East South Central,2018,30,0,0,305,0
West South Central,2018,30,3,0,617,3
Mountain,2018,30,1,0,657,1
Pacific,2018,30,4,1,463,5
New England,2018,31,0,0,301,0
Middle Atlantic,2018,31,1,1,898,2
East North Central,2018,31,4,0,1079,4
West North Central,2018,31,0,1,535,1
South Atlantic,2018,31,31,13,1551,44
East South Central,2018,31,1,0,294,1
West South Central,2018,31,3,1,570,4
Mountain,2018,31,0,0,628,0
Pacific,2018,31,3,1,436,4
New England,2018,32,0,0,321,0
Middle Atlantic,2018,32,1,1,1002,2
East North Central,2018,32,2,0,1155,2
West North Central,2018,32,1,1,635,2
South Atlantic,2018,32,30,15,1624,45
East South Central,2018,32,1,0,322,1
West South Central,2018,32,1,3,620,4
Mountain,2018,32,2,2,650,4
Pacific,2018,32,5,0,461,5
New England,2018,33,0,0,307,0
Middle Atlantic,2018,33,0,0,954,0
East North Central,2018,33,2,1,1258,3
West North Central,2018,33,0,0,680,0
South Atlantic,2018,33,24,16,1667,40
East South Central,2018,33,0,1,371,1
West South Central,2018,33,5,0,686,5
Mountain,2018,33,3,0,679,3
Pacific,2018,33,2,0,463,2
New England,2018,34,0,0,322,0
Middle Atlantic,2018,34,2,0,1050,2
East North Central,2018,34,13,3,1223,16
West North Central,2018,34,1,0,745,1
South Atlantic,2018,34,51,21,1933,72
East South Central,2018,34,2,0,517,2
West South Central,2018,34,5,1,758,6
Mountain,2018,34,0,1,745,1
Pacific,2018,34,3,1,490,4
New England,2018,35,0,0,287,0
Middle Atlantic,2018,35,1,3,988,4
East North Central,2018,35,1,1,1301,2
West North Central,2018,35,1,0,801,1
South Atlantic,2018,35,84,23,2434,107
East South Central,2018,35,5,3,574,8
West South Central,2018,35,3,3,938,6
Mountain,2018,35,2,0,828,2
Pacific,2018,35,1,0,561,1
New England,2018,36,1,0,347,1
Middle Atlantic,2018,36,4,0,981,4
East North Central,2018,36,4,1,1612,5
West North Central,2018,36,7,0,927,7
South Atlantic,2018,36,89,31,2730,120
East South Central,2018,36,1,2,587,3
West South Central,2018,36,8,15,1124,23
Mountain,2018,36,0,1,865,1
Pacific,2018,36,5,2,613,7
New England,2018,37,0,0,486,0
Middle Atlantic,2018,37,2,0,1457,2
East North Central,2018,37,10,2,2016,12
West North Central,2018,37,6,0,1215,6
South Atlantic,2018,37,122,36,2995,158
East South Central,2018,37,2,2,684,4
West South Central,2018,37,4,6,1349,10
Mountain,2018,37,2,0,1029,2
Pacific,2018,37,7,2,799,9
New England,2018,38,1,1,609,2
Middle Atlantic,2018,38,6,1,1465,7
East North Central,2018,38,9,8,2411,17
West North Central,2018,38,8,2,1239,10
South Atlantic,2018,38,109,40,3376,149
East South Central,2018,38,5,1,730,6
West South Central,2018,38,11,10,1515,21
Mountain,2018,38,2,0,990,2
Pacific,2018,38,7,3,847,10
New England,2018,39,8,1,793,9
Middle Atlantic,2018,39,8,3,1838,11
East North Central,2018,39,14,4,2815,18
West North Central,2018,39,4,0,1360,4
South Atlantic,2018,39,115,32,3572,147
East South Central,2018,39,2,3,743,5
West South Central,2018,39,7,4,1525,11
Mountain,2018,39,3,0,1087,3
Pacific,2018,39,8,5,1030,13
New England,2018,40,2,1,922,3
Middle Atlantic,2018,40,12,3,1951,15
East North Central,2018,40,7,6,2916,13
West North Central,2018,40,4,0,1453,4
South Atlantic,2018,40,161,43,4003,204
East South Central,2018,40,3,3,957,6
West South Central,2018,40,15,12,1764,27
Mountain,2018,40,3,1,1237,4
Pacific,2018,40,11,2,1325,13
New England,2018,41,2,2,971,4
Middle Atlantic,2018,41,13,3,2510,16
East North Central,2018,41,13,6,3204,19
West North Central,2018,41,2,0,1588,2
South Atlantic,2018,41,145,46,4042,191
East South Central,2018,41,5,4,990,9
West South Central,2018,41,17,16,1917,33
Mountain,2018,41,8,0,1367,8
Pacific,2018,41,18,6,1446,24
New England,2018,42,2,0,1110,2
Middle Atlantic,2018,42,8,0,2662,8
East North Central,2018,42,7,4,3727,11
West North Central,2018,42,7,1,1695,8
South Atlantic,2018,42,248,55,4714,303
East South Central,2018,42,7,4,1128,11
West South Central,2018,42,19,19,2141,38
Mountain,2018,42,4,3,1495,7
Pacific,2018,42,10,5,1549,15
