region,year,week,total_a,total_b,total_specimens,total_cases
Ohio,2023,22,15,5,1845,20
Oregon,2023,22,7,4,2066,11
Pennsylvania,2023,22,0,0,269,0
South Carolina,2023,22,4,12,913,16
South Dakota,2023,22,0,0,53,0
Tennessee,2023,22,0,3,70,3
Texas,2023,22,29,32,4044,61
Vermont,2023,22,2,0,188,2
Virginia,2023,22,1,1,830,2
Washington,2023,22,27,0,2736,27
West Virginia,2023,22,0,1,756,1
Wisconsin,2023,22,15,7,3048,22
Alabama,2023,23,0,3,274,3
Arizona,2023,23,0,11,167,11
Arkansas,2023,23,1,0,225,1
California,2023,23,25,10,2857,35
Colorado,2023,23,3,1,844,4
Connecticut,2023,23,7,5,835,12
Florida,2023,23,3,10,293,13
Georgia,2023,23,4,31,1133,35
Illinois,2023,23,0,0,164,0
Indiana,2023,23,0,1,219,1
Iowa,2023,23,3,6,635,9
Kansas,2023,23,0,0,159,0
Kentucky,2023,23,1,2,344,3
Louisiana,2023,23,0,1,45,1
Maryland,2023,23,1,0,252,1
Massachusetts,2023,23,10,8,2149,18
Michigan,2023,23,1,10,488,11
Minnesota,2023,23,1,5,879,6
Mississippi,2023,23,2,1,96,3
Missouri,2023,23,4,0,1411,4
Montana,2023,23,0,0,248,0
Nebraska,2023,23,2,2,549,4
New Mexico,2023,23,5,2,2023,7
New York,2023,23,19,18,3571,37
North Carolina,2023,23,4,3,1363,7
Ohio,2023,23,10,5,1683,15
Oregon,2023,23,15,2,1949,17
Pennsylvania,2023,23,1,3,220,4
