region,year,week,total_a,total_b,total_specimens,total_cases
South Carolina,2023,23,4,4,911,8
South Dakota,2023,23,0,0,51,0
Tennessee,2023,23,0,0,12,0
Texas,2023,23,21,23,3721,44
Vermont,2023,23,0,0,174,0
Virginia,2023,23,2,3,815,5
Washington,2023,23,37,2,2343,39
West Virginia,2023,23,0,0,763,0
Wisconsin,2023,23,15,12,2738,27
Alabama,2023,24,0,0,229,0
Arizona,2023,24,2,5,163,7
Arkansas,2023,24,1,0,165,1
California,2023,24,21,8,2712,29
Colorado,2023,24,7,2,729,9
Connecticut,2023,24,3,5,776,8
Florida,2023,24,4,12,292,16
Georgia,2023,24,2,24,902,26
Illinois,2023,24,0,2,126,2
Indiana,2023,24,0,1,183,1
Iowa,2023,24,4,4,557,8
Kansas,2023,24,1,1,146,2
Kentucky,2023,24,0,5,316,5
Louisiana,2023,24,1,1,46,2
Maryland,2023,24,1,0,193,1
Massachusetts,2023,24,4,4,2213,8
Michigan,2023,24,2,5,515,7
Minnesota,2023,24,4,1,894,5
Mississippi,2023,24,0,3,109,3
Missouri,2023,24,4,2,1248,6
Montana,2023,24,1,1,258,2
Nebraska,2023,24,8,1,544,9
New Mexico,2023,24,9,8,1895,17
New York,2023,24,14,16,3329,30
North Carolina,2023,24,7,1,1418,8
Ohio,2023,24,7,3,1619,10
Oregon,2023,24,8,3,1793,11
Pennsylvania,2023,24,0,3,162,3
South Carolina,2023,24,3,6,789,9
South Dakota,2023,24,1,0,69,1
Texas,2023,24,19,17,3417,36
